term,decision,recommended_definition,representative_source_id,representative_source_name,representative_source_url,source_count
레버리지효과,resolved,"레버리지 효과는 타인으로부터 빌린 자본을 지렛대 삼아 자기자본 대비 더 큰 규모의 투자를 함으로써 수익률을 높이는 것을 말합니다. 적은 투자금으로 높은 수익을 기대할 수 있지만, 기초자산의 가격이 예상과 다르게 움직일 경우 손실 또한 커질 수 있다는 특징이 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
만기평가가격,resolved,"만기평가가격은 ELS, DLS 등 파생결합증권의 만기 시점에 수익이나 손실 여부를 결정하기 위해 기준이 되는 기초자산의 가격입니다. 일반적으로 만기평가일의 종가를 활용하지만, 상품의 조건에 따라 일정 기간의 산술평균 가격 등을 적용하기도 합니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
매출,uncertain,,,,,2
모자형,resolved,모자형은 자금을 실제로 운용하는 모펀드와 해당 모펀드에만 투자하는 자펀드로 구성된 펀드 형태를 말합니다. 자펀드는 모펀드 이외의 다른 자산에는 직접 투자할 수 없는 구조적 특징이 있습니다.,source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
미수금,resolved,"미수금은 주식 매수 대금이나 신용 거래 상환금 등 고객이 증권회사에 납부해야 할 금액 중 미납된 돈을 의미합니다. 주로 증거금만 내고 주식을 사는 미수거래 시 발생하며, 정해진 결제일까지 납부하지 않으면 증권사가 주식을 강제로 팔아 채권을 회수하는 반대매매가 발생할 수 있습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
배당,resolved,"배당은 기업이 영업활동을 통해 얻은 이익의 일부를 주주에게 나누어 주는 것을 말합니다. 현금으로 지급하는 현금배당과 주식으로 지급하는 주식배당이 있으며, 지급 시기에 따라 결산배당, 중간배당, 분기배당 등으로 구분됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
배당락,resolved,"배당락은 배당기준일이 지나 배당금을 받을 권리가 없어진 상태를 말합니다. 주식 매수 후 주주명부에 등재되기까지 시간이 소요되므로 보통 배당기준일 전날부터 배당락이 발생하며, 배당락일에는 배당받을 권리가 사라진 만큼 주가가 전일보다 낮게 조정되어 거래되는 것이 일반적입니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
배당수익률,resolved,"배당수익률은 주가 대비 배당금의 비율을 나타내는 지표로, 1주당 배당금을 현재 주가로 나누어 계산합니다. 투자 금액 대비 어느 정도의 배당 수익을 얻을 수 있는지 보여주며, 산출 시점에 따라 직전 연도의 확정 배당금 또는 당기의 예상 배당금을 기준으로 삼습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
부채비율,resolved,"부채비율은 부채총액을 자기자본으로 나누어 계산한 지표로, 기업의 타인자본 의존도와 재무건전성을 나타냅니다. 일반적으로 비율이 낮을수록 재무 상태가 건전하다고 평가하며, 부채비율이 높으면 이자 비용 부담이 커져 기업의 현금흐름에 부정적인 영향을 줄 수 있습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
상장폐지,resolved,"상장폐지는 상장된 유가증권이 매매 대상으로서의 자격을 상실하여 주식시장에서 퇴출되는 것을 의미합니다. 기업의 자발적 신청이나 부도, 자본잠식, 감사인 의견 거절, 사업보고서 미제출 등 거래소가 정한 상장폐지 요건에 해당하여 투자자 보호가 필요할 때 결정됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
손익계산서,resolved,"손익계산서는 일정 기간 동안 기업이 달성한 경영 성과를 나타내는 재무제표입니다. 기업이 벌어들인 수익에서 발생한 비용을 차감하여 당기순손익을 산출하며, 이를 통해 기업의 수익성을 판단하고 미래의 이익 창출 능력을 예측할 수 있습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
수시공시,resolved,"수시공시는 상장기업의 경영 활동 중 중대한 변동 사항이 발생했을 때, 정기공시와 달리 사유가 발생한 즉시 공시하는 제도입니다. 주요 경영 사항, 자율공시, 조회공시 등이 포함되며, 투자자에게 기업의 중요한 정보를 신속하게 전달하여 공정한 거래가 이루어지도록 돕는 역할을 합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
수익률,resolved,"수익률은 투자한 원금 대비 발생한 수익의 비율을 백분율로 나타낸 지표입니다. 주식에서는 매매 차익과 배당 등을 포함한 전체 이익을 투자 금액으로 나누어 계산하며, 투자 성과를 측정하는 가장 기본적인 척도로 활용됩니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
수익증권,resolved,"수익증권은 투자자가 자산운용사에 맡긴 신탁 재산의 원금과 운용 수익을 받을 권리(수익권)를 균등하게 나누어 표시한 증권입니다. 펀드(투자신탁)에 가입하는 것은 곧 이 수익증권을 매수하는 것을 의미하며, 주식과 달리 경영 참여권은 없지만 실적에 따른 수익을 배분받을 권리를 가집니다.",source_3,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,3
수탁회사,resolved,"수탁회사는 펀드나 채권 발행 시 자산을 안전하게 보관·관리하고, 운용사가 법규에 맞게 자산을 운용하는지 감시하는 역할을 하는 금융기관입니다. 투자자의 자산을 보호하기 위해 운용사와 분리되어 독립적으로 자산을 관리하는 것이 특징입니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
시장조성,resolved,시장조성은 신규 상장된 종목의 원활한 거래와 주가 안정을 위해 주관 증권사가 일정 기간 동안 해당 주식의 수요와 공급을 조절하는 활동을 말합니다. 상장 초기 급격한 가격 변동으로부터 투자자를 보호하고 시장의 유동성을 공급하는 역할을 합니다.,source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
신용(대출)이자,resolved,"신용(대출)이자는 신용거래나 대출 서비스를 이용한 기간에 대해 투자자가 지불하는 이자입니다. 이자율 산정 방식에는 이용 기간에 따라 구간별 이자율을 다르게 적용하는 체차법, 전체 이용 기간에 대해 최종 이자율을 소급하여 적용하는 소급법, 기간과 관계없이 동일한 이자율을 적용하는 단일법 등이 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
신용거래,resolved,"신용거래는 증권사로부터 자금이나 주식을 빌려 주식을 매매하는 거래 방식입니다. 투자자가 일정 비율의 증거금을 내고 자금을 빌려 주식을 사는 '융자'와 주식을 빌려 파는 '대주'로 나뉩니다. 적은 돈으로 큰 수익을 노릴 수 있는 레버리지 효과가 있지만, 대출 이자가 발생하며 주가 하락 시 담보비율 유지 실패로 인한 반대매매 위험이 있으므로 주의가 필요합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
신용융자거래,resolved,"신용융자거래는 주식을 매수할 때 투자자가 매수 대금의 일부를 본인의 자금으로 부담하고, 부족한 나머지 금액은 증권사로부터 대출을 받아 주식을 사는 거래 방식입니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
신주인수권부사채(BW),resolved,"신주인수권부사채(BW)는 발행 회사의 신주를 미리 약정된 가격에 인수할 수 있는 권리(워런트)가 부여된 채권입니다. 투자자는 채권으로서 원금과 이자를 받으면서, 향후 주가가 오를 경우 신주인수권을 행사해 시세 차익을 얻을 수 있는 특징이 있습니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
액면분할,resolved,액면분할은 주식의 액면가액을 일정 비율로 나누어 발행 주식의 총 수를 늘리는 것을 말합니다. 자본금의 변화 없이 주식 수를 늘려 주당 가격을 낮춤으로써 주식 거래의 유동성을 높이고 투자자의 접근성을 개선하기 위해 실시합니다.,source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
영업이익률,resolved,"영업이익률은 매출액 대비 영업이익이 차지하는 비율로, 기업의 주된 영업활동을 통한 수익성을 나타내는 지표입니다. 영업외 활동의 영향을 제외한 순수 영업 성과를 측정하며, 기업의 경영 효율성을 판단하는 데 활용됩니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
우리사주조합,resolved,"우리사주조합은 기업의 종업원이 자기 회사의 주식을 취득하고 보유하기 위해 조직한 단체입니다. 종업원의 근로 의욕 고취와 재산 형성을 목적으로 하며, 기업이 주식을 발행할 때 일정 비율을 우선 배정받을 수 있는 권리가 부여됩니다. 가입을 통해 세제 혜택이나 주식 구입 자금 융자 등의 금융 혜택을 받을 수 있습니다.",source_1,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
우선주,resolved,"우선주는 의결권이 없는 대신, 배당이나 회사의 잔여 재산 분배 시 보통주보다 우선적인 권리를 가지는 주식입니다. 주로 경영 참여보다는 배당 수익을 목적으로 하는 투자자를 위해 발행됩니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
원천징수,resolved,원천징수는 소득이나 수입을 지급하는 자가 그 금액을 받는 사람이 부담해야 할 세금을 미리 징수하여 국가에 대신 납부하는 제도입니다. 주식 배당금이나 이자 소득 등을 지급받을 때 금융기관이 세금을 미리 제외하고 지급하는 것이 대표적인 사례입니다.,source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
유통대주,resolved,"유통대주는 증권사가 한국증권금융으로부터 빌려온 주식을 개인 투자자에게 다시 빌려주는 서비스입니다. 투자자는 주가 하락이 예상될 때 주식을 빌려 매도한 뒤, 나중에 주식을 사서 갚는 방식으로 수익을 노릴 수 있습니다. 거래 시 담보를 제공해야 하며 정해진 기간 내에 상환해야 합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
인덱스펀드(Index Fund),resolved,인덱스펀드는 특정 주가지수의 수익률을 추종하도록 포트폴리오를 구성하여 시장 평균 수익을 실현하는 것을 목표로 하는 상품입니다. 분산투자를 통해 위험을 낮추고 매매 비용을 절감할 수 있는 장점이 있습니다.,source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
인수단,resolved,"인수단은 주식이나 채권 등 유가증권의 발행 및 인수를 위해 구성된 금융회사들의 집합체입니다. 주간사회사와 인수회사 등으로 구성되며, 공모 후 청약 미달분이 발생할 경우 이를 공동으로 인수하여 책임지는 역할을 합니다.",source_1,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
저항선,resolved,"저항선은 주가가 상승하는 과정에서 매도 물량이 쏟아져 더 이상 오르지 못하고 멈추거나 하락하는 가격 수준을 의미합니다. 차트상 고점들을 연결해 파악하며, 주가가 저항선을 강력하게 돌파할 경우 새로운 상승 추세가 시작된 것으로 해석하기도 합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
전환사채(CB),resolved,"전환사채(CB)는 사채로 발행되었지만 일정 기간이 지난 후 채권자의 청구에 의해 발행회사의 주식으로 전환할 수 있는 권리가 부여된 채권입니다. 투자자는 채권의 안정성과 주가 상승 시 주식 전환을 통한 수익성을 동시에 기대할 수 있으며, 기업은 일반 회사채보다 낮은 금리로 자금을 조달할 수 있는 특징이 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
종가,resolved,"종가는 주식 시장의 정규 거래 시간이 끝날 때 결정된 그날의 최종 가격입니다. 보통 장 마감 직전의 동시호가를 통해 결정되며, 해당 종목의 당일 흐름을 보여주는 대표 가격으로 활용됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
종류형,resolved,"종류형은 하나의 펀드 내에서 투자자 그룹별로 서로 다른 판매보수와 수수료 체계를 적용하는 펀드 유형입니다. 보통 '멀티클래스 펀드'라고 불리며, 보수와 수수료 차이로 인해 클래스별 기준가격은 다를 수 있지만 자산 운용 방식은 동일합니다. 판매수수료 징구 시점이나 판매 경로에 따라 A, C, E 등의 클래스로 구분됩니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
좌,resolved,"좌는 펀드(수익증권)의 거래 및 보유 수량을 나타내는 기본 단위입니다. 주식의 '주'와 유사한 개념으로, 펀드를 처음 설정할 때는 보통 1좌당 1원으로 시작하며 이후 운용 성과에 따라 1좌당 가치가 변동하게 됩니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
증거금,resolved,"증거금은 주식이나 선물 거래 시 계약 이행을 보증하기 위해 미리 예탁하는 일종의 보증금입니다. 결제 불이행 위험을 방지하기 위한 장치로, 거래 대금의 일정 비율을 현금이나 유가증권으로 납부하며 종목이나 거래 유형에 따라 설정 비율이 달라질 수 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
증자,resolved,"증자는 기업이 주식을 새로 발행하여 자본금을 늘리는 것을 의미합니다. 방식에 따라 주주로부터 대금을 받고 주식을 발행하여 실질적인 자금이 유입되는 '유상증자'와, 기업의 잉여금을 자본금으로 전환하여 주주들에게 주식을 무상으로 나누어주는 '무상증자'로 나뉩니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,3
지정가주문,resolved,"지정가주문은 투자자가 매매하고자 하는 가격을 직접 지정하는 주문 방식입니다. 매수 시에는 지정한 가격 이하, 매도 시에는 지정한 가격 이상에서만 체결이 이루어지므로 원하는 가격에 거래할 수 있다는 장점이 있으나, 시장 가격이 지정한 가격에 도달하지 않으면 체결되지 않을 수 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
집중투표제,resolved,"집중투표제는 2인 이상의 이사를 선임할 때, 주주가 보유한 주식 1주당 선임할 이사의 수만큼 의결권을 부여하는 제도입니다. 주주는 이 의결권을 특정 후보 한 명에게 집중하여 투표하거나 여러 명에게 나누어 행사할 수 있습니다. 소액주주의 권익을 보호하고 대주주의 독단을 견제하기 위한 장치로, 기업이 정관에서 별도로 배제하지 않는 한 기본적으로 실시하도록 되어 있습니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
집합투자,resolved,"2인 이상의 투자자로부터 모은 자금을 투자자로부터 일상적인 운용 지시를 받지 않고 전문적으로 운용하여, 그 결과를 투자자에게 배분하는 것을 말합니다. 흔히 '펀드'라고 불리는 상품의 법적 정의이자 핵심 운용 방식입니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
채권,resolved,"채권은 정부, 지방자치단체, 공공기관 또는 기업이 대규모 자금을 조달하기 위해 발행하는 유가증권입니다. 발행 주체가 투자자에게 정해진 기간 동안 이자를 지급하고 만기에 원금을 상환할 것을 약속하는 일종의 차용증서이며, 발행 주체에 따라 국채, 지방채, 회사채 등으로 구분됩니다. 주식에 비해 상대적으로 안정성이 높고 이자 수익이 확정되어 있는 특징이 있습니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
채권 수익률,resolved,"채권 수익률은 채권 투자로 얻는 수익의 비율을 말하며, 일반적으로 만기까지 보유했을 때 얻는 연평균 수익률인 만기수익률을 의미합니다. 이는 채권의 이자 수익과 매매 가격 변동에 따른 차익을 모두 포함하며, 시장 금리나 투자자의 기대 심리 등 다양한 요인에 의해 결정됩니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
최초기준가격,resolved,"ELS, DLS 등 파생결합증권의 조기상환이나 만기상환 여부를 판단하는 기준이 되는 가격입니다. 보통 상품 발행 시점의 기초자산 종가나 특정 평가일의 가격으로 설정되며, 이후 수익률 계산의 기초가 됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
추적오차,resolved,"추적오차는 ETF나 펀드 등의 포트폴리오 수익률이 추종하는 기초지수(벤치마크)의 수익률과 얼마나 차이가 나는지를 나타내는 지표입니다. 수치가 낮을수록 지수를 정교하게 잘 따라가고 있음을 의미하며, 주로 운용 보수나 복제 방식의 차이 등으로 인해 발생합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
투자신탁,resolved,"투자신탁은 다수의 투자자로부터 모은 자금을 자산운용사가 신탁업자(은행 등)에게 맡기고, 이를 유가증권 등에 투자하여 발생한 수익을 투자자에게 돌려주는 형태의 펀드를 말합니다. 자산운용사, 신탁업자, 투자자 간의 신탁 계약을 바탕으로 운영되는 것이 특징입니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
펀드,resolved,"펀드는 다수의 투자자로부터 모은 자금을 전문가가 주식, 채권, 부동산 등 다양한 자산에 투자하고, 그 운용 실적에 따라 수익이나 손실을 투자자에게 배분하는 금융상품입니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,3
프로그램매매,resolved,"프로그램매매는 컴퓨터 프로그램을 활용해 다수의 종목을 일괄적으로 매매하는 거래 기법입니다. 국내 증권 시장에서는 보통 15개 이상의 종목을 동시에 거래하는 경우를 의미하며, 주로 기관이나 외국인 투자자가 지수 선물과 현물의 가격 차이를 이용한 차익거래나 대량의 주식을 바스켓 단위로 매매할 때 사용합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
해지,resolved,해지는 펀드의 신탁기간이 종료되거나 특정 사유가 발생함에 따라 집합투자재산을 모두 처분하여 투자자들에게 원금과 수익금을 나누어 주고 펀드를 소멸시키는 것을 말합니다.,source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
현금흐름표,resolved,"현금흐름표는 일정 기간 기업의 현금이 어떻게 들어오고 나갔는지 보여주는 재무제표입니다. 크게 영업활동, 투자활동, 재무활동으로 구분하여 기록하며, 손익계산서상의 이익뿐만 아니라 실제 현금의 유동성을 파악하는 데 중요한 지표가 됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
환매,resolved,"환매는 투자자가 보유한 수익증권이나 채권 등을 다시 매각하여 현금화하거나, 신용거래에서 공매도한 주식을 다시 사들이는 것을 의미합니다. 주로 펀드 투자자가 만기 전 자금을 회수할 때나 환매조건부채권(RP) 거래, 공매도 포지션을 청산할 때 사용되는 용어입니다.",source_1,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
환매수수료,resolved,"환매수수료는 펀드 가입자가 약정된 기간이 지나기 전에 중도 환매할 경우 부과되는 수수료입니다. 단기 투자를 억제하고 장기 투자를 유도하기 위한 목적으로 부과되며, 주로 발생한 이익금의 일정 비율을 징수하여 펀드 자산에 다시 편입합니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
