term,aliases,category,definition,source_name,source_url
순매도,"[""Net Sell""]",수급/투자자,"순매도는 특정 기간 동안 투자자가 주식을 산 금액보다 판 금액이 더 많은 상태를 의미합니다. 주가 화면이나 뉴스에서 투자 주체별 수급 현황을 설명할 때 주로 쓰입니다. 순매도라고 해서 무조건 주가에 부정적인 영향을 주는 것은 아니며, 시장 상황이나 투자자의 전략에 따라 다르게 해석될 수 있습니다.",장독대 주식 용어 사전,
대차잔고,"[""Stock Loan Balance""]",수급/투자자,"대차잔고는 투자자가 주식을 빌린 뒤 아직 갚지 않고 남아있는 주식 물량을 의미합니다. 주로 공매도를 하기 위해 미리 빌려둔 대기 물량으로 해석되어, 수급 상황을 파악하는 지표로 활용됩니다. 대차잔고가 늘어난다고 해서 반드시 주가가 하락하는 것은 아니며, 시장 상황에 따라 다양하게 해석될 수 있습니다.",장독대 주식 용어 사전,
공매도 잔고,"[""Short Interest""]",수급/투자자,"공매도 잔고는 투자자가 주식을 빌려 판 뒤 아직 시장에서 되사서 갚지 않은 주식의 수량을 의미합니다. 주식 화면이나 수급 통계에서 해당 종목에 남아있는 공매도 물량의 규모를 파악할 때 사용합니다. 공매도 잔고의 변화는 향후 수급에 영향을 줄 수 있으나, 이를 단순히 주가 방향을 결정하는 절대적인 지표로 해석하지 않도록 주의해야 합니다.",장독대 주식 용어 사전,
숏커버링,"[""Short Covering""]",수급/투자자,"숏커버링은 공매도한 주식을 갚기 위해 시장에서 다시 주식을 사들이는 것을 말합니다. 주가 하락을 예상해 주식을 빌려 팔았던 투자자가 빌린 주식을 되돌려주기 위해 매수하는 과정에서 발생합니다. 이로 인해 시장에 매수세가 유입되며 주가가 오르기도 하지만, 주가 흐름에 미치는 영향은 시장 상황에 따라 다를 수 있습니다.",장독대 주식 용어 사전,
오버행,"[""Overhang"", ""잠재 매도 물량""]",수급/투자자,오버행은 시장에 언제든 쏟아질 수 있는 대량의 잠재적 대기 물량을 뜻합니다. 주로 주식 시장의 수급 상황을 설명할 때 주가 상승을 제한할 수 있는 부담 요인으로 언급됩니다. 대기 물량이 실제 매물로 이어지는지 여부나 시장의 소화 능력에 따라 주가에 미치는 영향은 다를 수 있습니다.,장독대 주식 용어 사전,
리밸런싱,"[""Rebalancing"", ""포트폴리오 조정""]",수급/투자자,"리밸런싱은 운용 목표에 맞춰 포트폴리오 내 종목의 비중을 다시 조정하는 작업입니다. 주가 변동 등으로 인해 달라진 비중을 원래 계획대로 맞추거나, 지수 구성 종목이 바뀔 때 그에 맞춰 종목을 교체하는 것을 의미합니다. 뉴스나 리포트에서 특정 지수의 정기 변경이나 자산 배분 전략을 설명할 때 주로 사용됩니다.",장독대 주식 용어 사전,
패시브 자금,"[""Passive Fund Flow"", ""패시브 수급""]",수급/투자자,패시브 자금은 코스피200과 같은 특정 지수의 성과를 그대로 추종하는 ETF나 인덱스 펀드에서 유입되는 기계적인 투자 자금을 말합니다. 종목의 개별적인 가치 판단보다는 지수 구성의 변화나 비중에 따라 자금이 움직이는 특징이 있습니다. 주로 수급 상황을 분석하거나 지수 편입·편출 소식을 다루는 뉴스에서 자주 언급됩니다.,장독대 주식 용어 사전,
액티브 자금,"[""Active Fund Flow"", ""액티브 수급""]",수급/투자자,"액티브 자금은 펀드 매니저가 직접 종목을 골라 시장 수익률보다 높은 성과를 내기 위해 움직이는 투자 자금입니다. 특정 종목의 가치를 판단해 적극적으로 매매하는 성향을 보이며, 수급 분석 시 자금의 성격이나 매매 전략을 파악하는 용도로 쓰입니다.",장독대 주식 용어 사전,
락업 해제,"[""Lock-up Expiration"", ""보호예수 해제""]",시장/상장,"락업 해제는 상장 초기 대주주나 기관 투자자가 일정 기간 주식을 팔지 않기로 약속한 기간이 끝나 매도가 가능해지는 것을 뜻합니다. 주로 신규 상장 종목의 공시나 뉴스에서 시장에 풀릴 수 있는 물량을 설명할 때 사용됩니다. 락업이 해제되면 유통되는 주식 수가 늘어날 수 있으나, 실제 매도 여부나 주가에 미치는 영향은 시장 상황에 따라 다를 수 있습니다.",장독대 주식 용어 사전,
자사주 매입,"[""Share Buyback"", ""자기주식 매입""]",배당/주주환원,"자사주 매입은 기업이 보유한 자금으로 자기 회사의 주식을 시장에서 직접 사들이는 것을 뜻합니다. 주로 주주환원이나 주가 안정을 목적으로 진행되며, 시장에서는 기업의 주가 부양 의지를 나타내는 신호로 해석되기도 합니다. 다만, 매입 규모나 시점에 따라 시장에 미치는 영향이 다를 수 있으므로 관련 공시를 통해 상세 내용을 확인해야 합니다.",장독대 주식 용어 사전,
자사주 소각,"[""Share Cancellation"", ""자기주식 소각""]",배당/주주환원,자사주 소각은 기업이 보유한 자기주식을 없애는 것을 뜻합니다. 전체 주식 수가 줄어들어 기존 주주들이 보유한 주식의 가치가 높아지는 효과가 있습니다. 주로 기업의 주주환원 정책을 알리는 공시나 뉴스에서 중요한 지표로 다뤄집니다.,장독대 주식 용어 사전,
기저효과,"[""Base Effect""]",리포트/실적 표현,"기저효과는 비교 대상이 되는 기준 시점의 실적이 너무 낮아, 현재의 실적이 상대적으로 크게 좋아 보이는 현상을 뜻합니다. 주로 기업 실적 리포트나 경제 지표를 분석할 때 사용됩니다. 수치상으로 큰 폭의 성장이 나타나더라도, 실제 성과가 크게 개선된 것인지 아니면 이전 시점의 부진에 따른 상대적인 착시 현상인지 함께 고려해야 합니다.",장독대 주식 용어 사전,
상회,"[""Beat""]",리포트/실적 표현,상회는 실제 실적이나 수치가 시장의 예상치나 기준치보다 높게 나타난 것을 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업의 실적을 평가할 때 '시장 기대치를 상회했다'와 같은 표현으로 자주 쓰입니다. 단순히 수치가 높은 것뿐만 아니라 비교 대상인 기준치보다 높다는 점이 핵심입니다.,장독대 주식 용어 사전,
하회,"[""Miss""]",리포트/실적 표현,하회는 실제 실적이나 수치가 시장의 예상치나 기준치보다 낮게 나타난 것을 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업의 실적이 시장 전망치(컨센서스)에 미치지 못했을 때 '예상치를 하회했다'는 표현으로 자주 쓰입니다. 수치 자체가 낮은 것뿐만 아니라 비교 대상이 되는 기준보다 아래에 있다는 의미를 전달합니다.,장독대 주식 용어 사전,
신용융자,"[""Margin Loan""]",수급/투자자,신용융자는 투자자가 증권사로부터 자금을 빌려 주식을 매수하는 것을 뜻합니다. 주식 시장의 수급 상황을 파악하거나 시장의 과열 여부를 판단하는 지표로 활용됩니다. 신용융자 잔고의 증감은 시장의 전반적인 투자 심리를 보여주는 지표 중 하나로 쓰입니다.,장독대 주식 용어 사전,
ROE,"[""Return on Equity"", ""자기자본이익률""]",투자지표/밸류에이션,"ROE(자기자본이익률)는 기업이 주주의 돈인 자기자본을 활용해 1년 동안 얼마나 효율적으로 이익을 냈는지 보여주는 수익성 지표입니다. 재무제표나 리포트에서 기업의 경영 효율성을 파악할 때 주로 활용합니다. ROE가 높다고 해서 무조건 긍정적으로만 해석하기보다, 업종 평균이나 과거 수치와 비교해 종합적으로 살펴볼 필요가 있습니다.",장독대 주식 용어 사전,
