term,aliases,category,definition,source_name,source_url
KOSDAQ,[],시장/상장,"코스닥(KOSDAQ)은 중견기업이나 벤처기업 등을 육성하기 위해 설립된 증권시장입니다. 유가증권시장(KOSPI)에 비해 상대적으로 현재의 실적보다는 미래의 성장 가치에 주목하는 기업들이 많이 상장되어 있습니다. 기업 유형에 따라 매출액이나 자기자본 등 상장 요건에 차이가 있으며, 상장 특례 제도를 통해 일부 요건을 예외 적용받는 경우도 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
KOSPI,[],시장/상장,"KOSPI는 우리나라를 대표하는 주식시장으로, 규모가 크고 경영 실적이 비교적 안정적인 기업들이 상장되어 거래되는 시장입니다. 주로 인지도가 높은 대기업들이 상장되어 있으며, 상장을 위해서는 자기자본 300억 원 이상, 최근 매출액 1,000억 원 이상 등 까다로운 규모와 수익성, 건전성 요건을 충족해야 합니다. 한국거래소의 심사를 거쳐 상장된 기업들은 대체로 대규모의 건실한 매출 구조와 지배구조를 갖춘 것으로 평가됩니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
MACD,[],가격/차트,MACD는 이동평균선들이 서로 가까워지거나 멀어지는 성질을 이용해 주가의 추세를 분석하는 지표입니다. 주가 차트에서 이동평균선 간의 차이를 시각화하여 추세의 전환이나 과매수·과매도 구간 진입 여부를 파악할 때 활용합니다. 기준선 돌파 등의 신호를 통해 주가의 흐름을 살피는 용도로 쓰입니다.,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
MMF(Money Market Fund),[],ETF/펀드,"MMF는 고객의 자금을 모아 CD(양도성예금증서), CP(기업어음), 콜론 등 단기 금융상품에 투자하여 수익을 돌려주는 실적배당형 상품입니다. 금리가 높은 단기 상품에 집중 투자하여 운용 성과를 배분하는 특징이 있습니다. 주로 단기 자금을 운용하는 맥락에서 언급되며, 투자 대상의 성격에 따라 수익률이 달라질 수 있습니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
MTS,[],거래/주문/결제,"MTS는 Mobile Trading System의 약자로, 휴대폰을 이용해 주식을 거래하는 시스템입니다. 모바일 기기에서 실시간 주가 확인과 주문을 할 수 있는 환경을 뜻하며, 장소의 제약 없이 거래가 가능하다는 특징이 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
NAV,[],ETF/펀드,"NAV는 ETF 1주당 순자산 가치를 나타내는 지표입니다. ETF의 실제 가치를 보여주며, 현재 시장에서 거래되는 ETF의 가격이 실제 가치와 얼마나 차이가 나는지 비교할 때 사용합니다. 시장 가격은 수급 상황에 따라 NAV와 다를 수 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
NYSE (New York Stick Exchange),[],시장/상장,"NYSE는 뉴욕 증권거래소를 의미합니다. 미국의 대표적인 주식 시장으로, 국내 증시의 흐름을 파악하기 위해 글로벌 시장 동향을 살필 때 뉴스나 리포트에서 자주 언급됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
OBV지표(On Balance Volume),[],가격/차트,"OBV(On Balance Volume)는 거래량을 활용해 시장이 매집 단계인지 분산 단계인지를 나타내는 기술적 지표입니다. 주가가 뚜렷한 방향 없이 정체되어 있을 때 향후 추세를 가늠하는 용도로 차트 분석에서 주로 사용됩니다. 종가가 전일보다 상승하면 해당 거래량을 더하고, 하락하면 차감하는 방식으로 산출하며, 배당락이나 권리락 발생 시에는 별도의 기준에 따라 계산합니다. 주가와 OBV의 흐름이 다르게 나타나는 현상을 통해 추세 전환 가능성을 해석하기도 하나, 지표의 움직임만으로 주가 방향을 단정해서는 안 됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
PBR,[],투자지표/밸류에이션,"PBR은 주가를 1주당 순자산으로 나눈 지표로, 주가순자산비율이라고도 합니다. 주가가 기업의 순자산에 비해 몇 배 수준에서 거래되고 있는지 나타냅니다. PER과 함께 주가의 상대적인 수준을 파악할 때 활용하며, 기업의 재무 상태나 업종 특성에 따라 다르게 해석될 수 있습니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
PER,[],투자지표/밸류에이션,"PER는 주가를 주당순이익으로 나눈 투자지표입니다. 기업이 벌어들이는 이익에 비해 주가가 어느 정도 수준인지 볼 때 사용합니다. 주가가 1주당 수익의 몇 배가 되는지를 나타내며, 종목 정보나 리포트에서 기업의 가치를 판단하는 지표로 자주 활용됩니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
PSR,[],투자지표/밸류에이션,"PSR은 시가총액을 매출액으로 나누거나 주가를 1주당 매출액으로 나눈 지표입니다. 기업의 매출 규모에 비해 주가가 어느 정도 수준인지 보여주며, 주로 기업의 성장성에 주안점을 두고 가치를 평가할 때 사용합니다. PSR이 낮을수록 매출 대비 주가가 상대적으로 저평가된 것으로 해석되기도 합니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
PSR(price selling ratio),[],투자지표/밸류에이션,"PSR은 주가를 주당 매출액으로 나눈 투자지표입니다. 기업의 수익성보다는 성장성에 초점을 맞춰, 현재 주가가 매출 규모에 비해 어느 정도 수준인지 파악할 때 사용합니다. 주로 당장의 이익보다 미래 가치가 중요한 벤처기업이나 코스닥 상장사 분석에 활용됩니다. PSR이 낮을수록 성장 잠재력 대비 주가가 저평가된 것으로 해석하기도 하지만, 이익률이 낮은 경우에도 지표가 낮게 나타날 수 있으므로 매출액 증가율이나 영업이익률 등을 함께 고려하는 것이 좋습니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
RP 만기후이율,[],채권/금리/환율,RP 만기후이율은 약정식 RP 상품의 만기가 지난 후에도 투자자가 직접 매도하지 않았을 때 적용되는 이율입니다. 만기 이후에는 기존 약정 금리가 아닌 0.1%의 이율이 적용됩니다. 주로 RP 상품의 상세 정보나 계좌 관리 화면에서 만기 이후의 수익률 기준을 설명할 때 사용됩니다.,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
RP자동재투자,[],채권/금리/환율,"RP자동재투자는 약정한 기간이 지나면 해당 시점의 수익률로 RP를 다시 매수하는 기능입니다. 투자자가 직접 매수하지 않아도 회사가 정한 주기에 따라 자동으로 재투자가 이루어지며, 이때 적용되는 수익률은 재투자 시점에 회사가 고시한 약정 수익률을 따릅니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
Step-up 발행어음,[],채권/금리/환율,Step-up 발행어음은 이자율이 일정 주기마다 점차 상승하는 구조의 상품입니다. 시간이 지날수록 적용되는 금리가 단계적으로 높아지는 특징이 있습니다. 주로 금융상품 화면이나 관련 공시에서 상품의 금리 구조를 설명할 때 사용됩니다.,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
가격변동준비금 (reserve for fluctuation),[],재무/회계,가격변동준비금은 기업이 보유한 재고자산이나 유가증권의 가격 하락으로 발생할 수 있는 손실에 대비해 미리 적립해 두는 금액입니다. 주로 투자신탁회사가 자산 운용 과정에서 발생한 이익의 일부를 쌓아두어 향후 가격 변동 위험을 관리하는 데 활용합니다. 재무제표나 공시에서 기업이 예상치 못한 자산 가치 하락에 대응하기 위해 마련한 완충 장치의 역할을 합니다.,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격산정 (pricing),[],투자지표/밸류에이션,가격산정(Pricing)은 주식의 가치나 새로 발행하는 채권의 수익률을 결정하는 것을 의미합니다. 주로 주식이나 채권을 새로 발행할 때 시장 상황과 자산의 가치를 고려하여 적정한 가격이나 금리 수준을 정하는 과정을 말합니다.,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격신축성 (price flexibility),[],거시경제,"가격신축성은 수요와 공급의 변화에 따라 가격이 변동하는 정도를 뜻합니다. 수요가 공급보다 많아지면 가격이 상승하고, 반대로 공급이 많아지면 가격이 하락하는 수급 관계의 원리를 설명합니다. 주로 거시경제 뉴스나 리포트에서 시장의 가격 조정 메커니즘을 설명할 때 사용되는 용어입니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격제한폭,[],가격/차트,"가격제한폭은 하루 동안 주가가 변동할 수 있는 범위를 제한하는 제도입니다. 보통 전일 종가 대비 ±30% 범위로 정해지며, 주가 화면에서 상한가와 하한가를 결정하는 기준이 됩니다. 정리매매 종목 등 일부 특수한 경우에는 이 제한이 적용되지 않을 수 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
가격제한폭(restriction of price range),[],가격/차트,"가격제한폭은 하루 동안 주가가 움직일 수 있는 범위를 제한하여 급격한 변동에 따른 시장 혼란을 방지하는 제도입니다. 전일 종가를 기준으로 주가가 오를 수 있는 최상단을 상한가, 내려갈 수 있는 최하단을 하한가라고 합니다. 투자자 보호와 공정한 가격 형성을 목적으로 하지만, 인위적인 제한으로 인해 주가가 정보를 즉시 반영하지 못하거나 변동성이 다음 날로 이어지는 요인이 되기도 합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격지지 (peg),[],시장/상장,"가격지지는 새로 발행된 증권이 유통시장에서 상장가 아래로 떨어지지 않도록 발행 기간 동안 공개시장에서 가격을 고정시키는 것을 말합니다. 주로 신규 상장 종목의 가격 안정을 돕는 시장조성 과정에서 활용됩니다. 가격이 일정 수준으로 유지되는 상태를 나타내며, 이를 주가의 방향성을 결정짓는 절대적인 지표로만 해석해서는 안 됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격파급효과분석,[],거시경제,가격파급효과분석은 원재료 가격이나 임금 같은 비용의 변화가 최종 생산물 가격에 어떤 영향을 주는지 분석하는 방법입니다. 산업연관표를 활용해 특정 항목의 가격 변동이 경제 전반의 물가에 미치는 파급력을 파악할 때 쓰입니다. 주로 거시경제 리포트나 뉴스에서 원가 상승이 산업별 제품 가격에 미치는 영향을 설명하는 맥락에서 사용됩니다.,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가격할증 (markup),[],거래/주문/결제,"가격할증은 증권의 시장가격이 상승함에 따라 딜러가 해당 증권의 가치를 높게 재평가하거나, 딜러가 일반 투자자에게 판매하는 가격과 시장 조성자의 매도가격 사이의 차이를 뜻합니다. 거래나 주문 과정에서 발생하는 가격의 차이를 설명할 때 주로 쓰입니다. 시장 상황이나 거래 주체에 따라 발생하는 비용적 성격을 포함하므로 단순한 가격 상승과는 구분하여 이해해야 합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가장매매,[],거래/주문/결제,가장매매는 동일한 투자자가 같은 종목의 매도와 매수 주문을 동시에 내어 거래가 활발한 것처럼 꾸미거나 시세를 조정하는 행위입니다. 2인 이상이 미리 약속하고 거래하는 '통정매매'와 함께 대표적인 시세조종 수단으로 꼽힙니다. 시장의 공정한 거래 질서를 해치는 행위로 간주되어 법적으로 금지되어 있습니다.,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중주가평균 (weighted stock price average),[],가격/차트,"가중주가평균은 각 종목의 거래량이나 상장주식수를 가중치로 반영하여 산출한 평균 주가입니다. 단순히 주가만을 산술평균하는 방식과 달리, 시장의 규모나 거래 현황을 함께 고려하는 것이 특징입니다. 거래량을 가중치로 하면 시장의 인기나 경기 동향을 파악하기에 적합하고, 상장주식수를 가중치로 하면 시장의 전반적인 주가 수준을 확인하는 데 유용합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균 수익률,[],투자지표/밸류에이션,"가중평균 수익률은 여러 종목의 수익률을 합산할 때 각 기업의 자본금 규모를 반영하여 계산한 지표입니다. 단순히 종목 수로 나누는 산술평균과 달리, 각 종목의 배당금 총액을 전체 시가총액으로 나누어 산출합니다. 자본금 규모가 큰 대형주의 영향력이 더 크게 반영되는 특징이 있으며, 시장 전체나 특정 업종의 전반적인 배당 수준을 파악하는 용도로 활용됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균금리 (weighted average rate),[],채권/금리/환율,가중평균금리는 금융기관이 취급하는 금융상품의 금리를 거래 빈도나 금액 비중에 따라 가중치를 두어 산출한 평균 금리입니다. 단순히 금리 수치를 산술 평균하는 것보다 실제 시장의 자금 흐름과 금리 수준을 더 대표성 있게 보여주는 지표로 활용됩니다. 한국은행은 금액에 가중치를 둔 가중평균금리를 발표하여 시장의 기준 금리 흐름을 파악할 수 있게 합니다.,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균배당수익률,[],배당/주주환원,"가중평균배당수익률은 시장에 상장된 전체 종목의 배당금 총액을 시가총액으로 나누어 산출한 평균 배당수익률입니다. 개별 종목의 배당수익률을 단순히 합산해 나누는 방식과 달리, 상장주식 수에 따른 비중을 반영하여 계산합니다. 시가총액이 큰 종목의 배당 수준에 더 많은 영향을 받으므로, 시장 전체의 실질적인 배당 수익 현황을 파악하는 지표로 활용됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균상환기간 (weighted average term to maturity),[],채권/금리/환율,"가중평균상환기간은 채권에서 발생하는 이자와 원금 등 모든 현금흐름의 평균적인 회수기간을 의미합니다. 만기까지의 기간보다 짧은 것이 일반적인데, 이는 중간에 지급되는 이자까지 고려하여 계산하기 때문입니다. 이자 지급액이 클수록 기간은 짧아지며, 이자 지급이 없는 할인채는 만기 기간과 가중평균상환기간이 동일합니다. 모든 현금흐름을 고려한다는 장점이 있으나, 각 현금흐름의 시간가치는 반영하지 않는다는 특징이 있습니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균자본비용 (weighted average cost of capital),[],투자지표/밸류에이션,"가중평균자본비용(WACC)은 기업이 조달한 부채, 우선주, 보통주 등 각 자본의 비용을 전체 자본에서 차지하는 비중에 따라 가중평균한 것입니다. 일반적으로 기업의 전체적인 자본비용을 의미하며, 기업 가치를 평가하거나 재무적 의사결정을 내릴 때 핵심적인 지표로 쓰입니다. 투자자에게는 요구수익률의 기준이 되고, 기업에게는 투자와 자금 조달의 효율성을 판단하는 기준이 됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
가중평균주가 (weighted stock price average),[],가격/차트,"가중평균주가는 특정 기준에 가중치를 두어 계산한 평균 주가입니다. 시장 전체의 시가총액을 상장주식수로 나누어 상장주식수에 중점을 둔 평균 주가 수준을 파악하거나, 일정 기간의 총 거래대금을 총 거래량으로 나누어 매매 거래에 중점을 둔 평균 주가를 산출할 때 사용합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
간사회사(management cooperation),[],시장/상장,"간사회사는 주식이나 채권 같은 증권 발행 업무를 총괄하는 금융기관을 말합니다. 발행 조건과 시기를 결정하고, 인수단을 구성해 증권을 직접 인수함으로써 발행에 따른 위험을 나누는 역할을 합니다. 업무 비중에 따라 주간사회사와 공동간사회사로 구분하며, 주로 공시나 뉴스에서 기업의 상장이나 자금 조달 소식을 전할 때 등장합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
간접공시,[],공시/기업행위,"간접공시는 상장법인이 거래소에 신고한 기업 내용을 거래소가 해당 기업을 대신하여 공시하는 제도입니다. 기업은 간접공시 사유가 발생한 날로부터 3일 이내에 그 내용을 거래소에 신고해야 합니다. 주요 항목으로는 사업 목적 변경을 위한 이사회 결의, 자본금의 20% 이상에 해당하는 대규모 소송 제기, 경영권 분쟁, 조세 범칙 사건 조사 등이 있습니다. 공시를 통해 기업의 경영 목적 변화나 법적 분쟁 발생 여부를 확인할 수 있습니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
간접금융(indirect financing),[],거시경제,"간접금융은 자금을 빌려주는 사람과 빌리는 사람이 직접 거래하지 않고, 은행과 같은 금융중개기관을 거쳐 자금이 전달되는 방식입니다. 개인이 은행에 예금을 하고, 은행이 그 자금을 다시 기업 등에 대출하거나 투자하는 형태가 대표적입니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
간접모집(indirect offering),[],시장/상장,"간접모집은 발행회사가 직접 투자자를 모집하지 않고 증권사 등 전문 중개기관을 통해 주식이나 채권을 발행하는 방식입니다. 중개기관에 수수료를 지급해야 하는 부담은 있지만, 전문성을 활용해 신속하고 효율적으로 자금을 조달할 수 있다는 특징이 있습니다. 발행 위험을 누가 부담하는지나 사무 처리 범위에 따라 위탁모집, 인수모집, 총액인수 등으로 구분됩니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
간접발행(indirect issuing),[],시장/상장,"간접발행은 증권을 발행하는 기업이 직접 투자자를 모집하지 않고, 증권사나 은행 같은 전문기관을 중개자로 세워 발행 업무를 진행하는 방식입니다. 전문기관의 신용과 네트워크를 활용해 투자자를 폭넓게 모집하고 발행 사무를 원활하게 처리하기 위해 주로 사용됩니다. 발행 위험을 누가 부담하느냐에 따라 위탁모집, 잔액인수, 총액인수 등으로 구분하며, 이때 발생하는 비용은 발행 기업이 부담합니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
